delivery_id,origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,climate_event,weather_score,traffic_index,delay_hours,status
DEL-10000,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,6.87,0.9,11.3,delayed
DEL-10001,Delhi,Mumbai,28.6,77.2,19.0,72.8,flood,6.91,0.63,16.7,delayed
DEL-10002,Delhi,Mumbai,28.6,77.2,19.0,72.8,heatwave,3.57,0.49,14.6,delayed
DEL-10003,Chennai,Bengaluru,13.0,80.2,12.9,77.5,heatwave,2.03,0.22,11.7,delayed
DEL-10004,Delhi,Kolkata,28.6,77.2,22.5,88.3,heatwave,3.52,0.8,13.9,delayed
DEL-10005,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,3.92,0.43,19.0,delayed
DEL-10006,Chennai,Bengaluru,13.0,80.2,12.9,77.5,heatwave,9.42,0.87,20.1,delayed
DEL-10007,Delhi,Kolkata,28.6,77.2,22.5,88.3,heatwave,2.98,0.4,14.1,delayed
DEL-10008,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,7.06,0.97,11.6,delayed
DEL-10009,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,3.05,0.81,6.7,delayed
DEL-10010,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,7.41,0.58,11.5,delayed
DEL-10011,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,1.72,0.85,3.7,on_time
DEL-10012,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,6.57,0.99,17.2,delayed
DEL-10013,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,2.43,0.62,6.5,delayed
DEL-10014,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,2.99,0.5,15.6,delayed
DEL-10015,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,3.6,0.9,12.6,delayed
DEL-10016,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,4.54,0.71,22.2,delayed
DEL-10017,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,7.41,0.25,17.5,delayed
DEL-10018,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,5.44,0.4,7.6,delayed
DEL-10019,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,7.07,0.86,20.9,delayed
DEL-10020,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,2.98,0.41,25.5,delayed
DEL-10021,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,9.68,0.52,18.2,delayed
DEL-10022,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,9.23,0.37,14.4,delayed
DEL-10023,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,0.04,0.37,5.1,delayed
DEL-10024,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,5.03,0.76,10.0,delayed
DEL-10025,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,4.31,0.47,17.0,delayed
DEL-10026,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,8.51,0.88,28.7,delayed
DEL-10027,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,5.93,0.67,10.1,delayed
DEL-10028,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,5.42,0.9,11.0,delayed
DEL-10029,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.04,0.94,0.4,on_time
DEL-10030,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,4.75,0.29,9.2,delayed
DEL-10031,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,8.96,0.38,26.8,delayed
DEL-10032,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,4.39,0.87,5.3,delayed
DEL-10033,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,8.76,0.22,22.4,delayed
DEL-10034,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,4.01,0.39,2.7,on_time
DEL-10035,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,4.24,0.4,14.5,delayed
DEL-10036,Delhi,Mumbai,28.6,77.2,19.0,72.8,heatwave,2.12,0.64,17.1,delayed
DEL-10037,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,1.0,0.85,5.1,delayed
DEL-10038,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,9.01,0.62,13.0,delayed
DEL-10039,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,7.01,0.88,12.6,delayed
DEL-10040,Delhi,Mumbai,28.6,77.2,19.0,72.8,heatwave,3.32,0.79,23.0,delayed
DEL-10041,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,3.65,0.99,25.1,delayed
DEL-10042,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,6.64,0.64,8.7,delayed
DEL-10043,Delhi,Mumbai,28.6,77.2,19.0,72.8,flood,1.83,0.71,15.1,delayed
DEL-10044,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,9.8,0.56,27.4,delayed
DEL-10045,Delhi,Kolkata,28.6,77.2,22.5,88.3,flood,2.57,0.83,16.4,delayed
DEL-10046,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,7.44,0.5,10.5,delayed
DEL-10047,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,1.14,0.32,3.5,on_time
DEL-10048,Chennai,Bengaluru,13.0,80.2,12.9,77.5,heatwave,8.25,0.84,17.2,delayed
DEL-10049,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,5.0,0.96,30.0,delayed
DEL-10050,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,8.26,0.31,10.8,delayed
DEL-10051,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,3.7,0.35,9.8,delayed
DEL-10052,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,0.82,0.43,23.4,delayed
DEL-10053,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,4.66,0.42,24.7,delayed
DEL-10054,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,4.42,0.34,8.1,delayed
DEL-10055,Delhi,Kolkata,28.6,77.2,22.5,88.3,heatwave,0.96,0.8,15.2,delayed
DEL-10056,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,7.53,0.55,27.4,delayed
DEL-10057,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,0.58,0.36,5.3,delayed
DEL-10058,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,4.24,0.53,5.5,delayed
DEL-10059,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,6.68,0.89,11.2,delayed
DEL-10060,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,7.8,0.46,30.0,delayed
DEL-10061,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,3.97,0.59,16.3,delayed
DEL-10062,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,8.97,0.27,15.0,delayed
DEL-10063,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,5.63,0.86,24.0,delayed
DEL-10064,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,0.16,0.69,1.0,on_time
DEL-10065,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,2.98,0.82,7.3,delayed
DEL-10066,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,0.49,0.64,9.5,delayed
DEL-10067,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,1.05,0.37,13.4,delayed
DEL-10068,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,3.33,0.54,6.3,delayed
DEL-10069,Delhi,Mumbai,28.6,77.2,19.0,72.8,flood,1.02,0.93,21.2,delayed
DEL-10070,Delhi,Mumbai,28.6,77.2,19.0,72.8,cyclone,2.62,0.34,18.8,delayed
DEL-10071,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,5.95,0.78,13.5,delayed
